DATE		,	COUNT
04/10/2015	,	15882.82527
05/10/2015	,	17584.55655
06/10/2015	,	19853.53158
07/10/2015	,	17584.55655
08/10/2015	,	18719.04407
09/10/2015	,	17584.55655
10/10/2015	,	17584.55655
11/10/2015	,	17017.31279
12/10/2015	,	18151.80031
13/10/2015	,	18151.80031
14/10/2015	,	17017.31279
15/10/2015	,	18151.80031
16/10/2015	,	18719.04407
17/10/2015	,	19286.28783
18/10/2015	,	18719.04407
19/10/2015	,	18151.80031
20/10/2015	,	20988.0191
21/10/2015	,	20988.0191
22/10/2015	,	23824.2379
23/10/2015	,	20988.0191
24/10/2015	,	19853.53158
25/10/2015	,	20420.77534
26/10/2015	,	22122.50662
27/10/2015	,	23256.99414
28/10/2015	,	23256.99414
29/10/2015	,	26660.4567
30/10/2015	,	27227.70046
31/10/2015	,	23256.99414
01/11/2015	,	26667.13016
02/11/2015	,	29630.14462
03/11/2015	,	41482.20246
04/11/2015	,	57038.02839
05/11/2015	,	49630.49223
06/11/2015	,	34815.41993
07/11/2015	,	30370.89823
08/11/2015	,	26667.13016
09/11/2015	,	31852.40546
10/11/2015	,	28889.391
11/11/2015	,	27407.88377
12/11/2015	,	25926.37654
13/11/2015	,	25185.62292
14/11/2015	,	20741.10123
15/11/2015	,	20741.10123
16/11/2015	,	22222.60846
17/11/2015	,	24444.86931
18/11/2015	,	23704.11569
19/11/2015	,	22963.36208
20/11/2015	,	24444.86931
21/11/2015	,	24444.86931
22/11/2015	,	21481.85485
23/11/2015	,	22963.36208
24/11/2015	,	22963.36208
25/11/2015	,	21481.85485
26/11/2015	,	23704.11569
27/11/2015	,	21481.85485
28/11/2015	,	20000.34762
29/11/2015	,	20741.10123
30/11/2015	,	24444.86931
01/12/2015	,	23704.11569
02/12/2015	,	25185.62292
03/12/2015	,	22963.36208
04/12/2015	,	21481.85485
05/12/2015	,	21481.85485
06/12/2015	,	22963.36208
07/12/2015	,	23704.11569
08/12/2015	,	31111.65185
09/12/2015	,	61482.55008
10/12/2015	,	42222.95608
11/12/2015	,	34815.41993
12/12/2015	,	31111.65185
13/12/2015	,	27407.88377
14/12/2015	,	26667.13016
15/12/2015	,	31111.65185
16/12/2015	,	27407.88377
