Average electricity cost assumption: 0.05 USD/kWh,,,,,,,
Timestamp,Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh"
1544832000,2018-12-15T00:00:00,5.599941503142857,2.3788833375142855,3.8732669658571433,49.08908721655029,20.853291336650233,33.95305822270371
1544918400,2018-12-16T00:00:00,5.521068965828571,2.345377886662857,3.818713825771429,48.397690554453256,20.559582554486607,33.47484539671234
1545004800,2018-12-17T00:00:00,5.739486386914286,2.4381627065314286,3.9697848648857144,50.312337667690635,21.372934285454505,34.799134125588175
1545091200,2018-12-18T00:00:00,5.7513057032571435,2.4431836116057144,3.977959837342857,50.41594579475212,21.416947539335695,34.87079593414749
1545177600,2018-12-19T00:00:00,5.840800062171428,2.4812012657371434,4.039859688228572,51.20045334499474,21.750210295451797,35.41341002701166
1545264000,2018-12-20T00:00:00,5.786739875314285,2.4582362262514286,4.002468309085715,50.72656174700503,21.548898759320025,35.08563719744537
1545350400,2018-12-21T00:00:00,5.669106551485714,2.4082649981885713,3.9211058043142857,49.69538803032378,21.110850974121018,34.372413480619024
1545436800,2018-12-22T00:00:00,5.8036740876,2.4321418443200002,3.974375869608571,50.8750070519016,21.320155407309123,34.83937887298874
1545523200,2018-12-23T00:00:00,6.150457842171429,2.545979021657143,4.1742004166971425,53.91491344447474,22.31805210384652,36.59104085276715
1545609600,2018-12-24T00:00:00,6.0817892868,2.48789519368,4.092131368065714,53.3129648880888,21.808889267798882,35.87162357246405
1545696000,2018-12-25T00:00:00,6.255194292,2.5313139018800004,4.1759031974314285,54.833033163672,22.18949766388008,36.605967428683904
1545782400,2018-12-26T00:00:00,6.3693896112,2.54996048552,4.219176865891428,55.8340693317792,22.352953616068323,36.98530440640426
1545868800,2018-12-27T00:00:00,6.66129108857143,2.640863843337143,4.381496356474286,58.392877682417144,23.149812450693393,38.40819706085359
1545955200,2018-12-28T00:00:00,6.884217695314286,2.7037977848114285,4.49770067252,60.347052317125026,23.701491381656982,39.42684409531032
1546041600,2018-12-29T00:00:00,6.664633426285714,2.6175553842285715,4.3542385744,58.42217661482057,22.945490498147656,38.1692553431904
1546128000,2018-12-30T00:00:00,6.664633426285714,2.6175553842285715,4.3542385744,58.422176614820565,22.945490498147656,38.1692553431904
1546214400,2018-12-31T00:00:00,6.7110088608,2.63576947952,4.38453727096,58.8287036737728,23.105155257472322,38.434853717235356
1546300800,2019-01-01T00:00:00,6.891242445257142,2.647295156274286,4.422496826790203,60.40863127512411,23.20618933990039,38.76760718364293
1546387200,2019-01-02T00:00:00,6.945517788685714,2.668611965217143,4.457956810690204,60.88440893561897,23.393052487093478,39.07844940251032
1546473600,2019-01-03T00:00:00,6.925023381599999,2.660562723468572,4.4445670963302035,60.7047549631056,23.3224928339255,38.96107516643057
1546560000,2019-01-04T00:00:00,6.9068902968,2.6534408983485713,4.432720116570204,60.5458003417488,23.260062914923584,38.85722454185441
1546646400,2019-01-05T00:00:00,7.152283117028572,2.7498196872114287,4.593043845630204,62.69691380387246,24.104919378095385,40.26262235079436
